add device 1: /dev/input/event5
  name:     "msm8974-taiko-mtp-snd-card Headset Jack"
add device 2: /dev/input/event4
  name:     "msm8974-taiko-mtp-snd-card Button Jack"
add device 3: /dev/input/event3
  name:     "hs_detect"
add device 4: /dev/input/event1
  name:     "touch_dev"
add device 5: /dev/input/event0
  name:     "qpnp_pon"
add device 6: /dev/input/event2
  name:     "gpio-keys"
/dev/input/event1: 0003 0039 00000051
/dev/input/event1: 0003 0035 00000000
/dev/input/event1: 0003 0036 00000683
/dev/input/event1: 0003 003a 00000029
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000682
/dev/input/event1: 0003 003a 00000024
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000681
/dev/input/event1: 0003 003a 00000025
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000680
/dev/input/event1: 0003 003a 00000027
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000067e
/dev/input/event1: 0003 003a 00000028
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 0000067c
/dev/input/event1: 0003 003a 00000021
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000673
/dev/input/event1: 0003 003a 00000020
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000671
/dev/input/event1: 0003 003a 0000001f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000052
/dev/input/event1: 0003 0035 0000009b
/dev/input/event1: 0003 0036 00000169
/dev/input/event1: 0003 003a 00000033
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000009a
/dev/input/event1: 0003 003a 00000034
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000099
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000098
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000097
/dev/input/event1: 0003 003a 00000033
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000053
/dev/input/event1: 0003 0035 0000014d
/dev/input/event1: 0003 0036 0000054d
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000549
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 00000538
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014e
/dev/input/event1: 0003 0036 00000513
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 000004dc
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014c
/dev/input/event1: 0003 0036 0000049e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000147
/dev/input/event1: 0003 0036 0000045e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013c
/dev/input/event1: 0003 0036 00000413
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000054
/dev/input/event1: 0003 0035 0000013f
/dev/input/event1: 0003 0036 000003b9
/dev/input/event1: 0003 003a 0000002f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013e
/dev/input/event1: 0003 0036 000003b8
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013d
/dev/input/event1: 0003 0036 000003b7
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013c
/dev/input/event1: 0003 0036 000003b5
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013b
/dev/input/event1: 0003 0036 000003b3
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013a
/dev/input/event1: 0003 0036 000003b0
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000138
/dev/input/event1: 0003 0036 000003ac
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000135
/dev/input/event1: 0003 0036 000003a5
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000132
/dev/input/event1: 0003 0036 0000039c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000012d
/dev/input/event1: 0003 0036 00000390
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000127
/dev/input/event1: 0003 0036 00000383
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000120
/dev/input/event1: 0003 0036 00000373
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000116
/dev/input/event1: 0003 0036 0000035f
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000108
/dev/input/event1: 0003 0036 00000346
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000f9
/dev/input/event1: 0003 0036 0000032d
